sma_window,adx_buy_min,vol_risk_fraction,sharpe,total_return_pct,max_drawdown_pct,profit_factor,num_orders
30,25.0,0.008,1.9538596096870302,72.55733323335747,15.579719338457709,,80
30,20.0,0.008,1.9102997487991533,77.45536805314019,16.02235463221592,,108
30,25.0,0.005,1.8148199134061078,41.71386683232334,10.995379154798135,,80
20,20.0,0.008,1.8118895368775025,73.65885953812096,12.25195237089457,,176
20,25.0,0.008,1.8066187934461329,61.87412454899872,11.419419577710721,,128
50,25.0,0.008,1.8005473384642654,57.032137361476785,10.180342844201872,,32
10,20.0,0.008,1.7798451049372823,81.82086456983725,13.960650842012257,1.2784809282016165,332
30,20.0,0.005,1.750171362090304,50.03124987036429,11.575554194932137,,108
50,25.0,0.005,1.693957927328063,33.649626733277536,7.3826826427558885,,32
30,15.0,0.008,1.691053158260023,67.87339598646089,16.02235463221592,,134
20,25.0,0.005,1.6765825901742606,35.385452538066666,7.9611606303809594,,128
20,20.0,0.005,1.6678423397395012,47.25389569270027,10.443040276150217,,176
30,25.0,0.002,1.6340987889673932,15.07172928245939,5.058551796557886,,80
10,20.0,0.005,1.6225197873582504,51.02681385232779,11.840701457317637,1.2784809282016165,332
30,15.0,0.005,1.5591892994481262,44.25825453379002,12.358131574872145,,134
10,25.0,0.008,1.5555564790602465,64.49576612102936,14.573443049690471,1.0138526783869892,272
50,25.0,0.002,1.5549890541622957,12.55296614803838,3.5042159804551276,,32
20,25.0,0.002,1.5113540146844024,12.700388703320996,3.602489797173092,,128
20,15.0,0.008,1.449265323553541,57.16415368979788,12.936700633650833,,224
10,25.0,0.005,1.4355006754307917,41.956838993638335,13.067865389167899,1.0138526783869892,272
10,15.0,0.008,1.418269617205325,62.45245539937518,14.352853811400923,,412
20,15.0,0.005,1.3642516266380014,38.34994138128016,12.198079345284384,,224
30,20.0,0.002,1.3523662066678457,25.287802357012335,11.19321606525273,,108
10,15.0,0.005,1.338332403374652,41.50468252046966,13.129637972168261,,412
50,20.0,0.008,1.319453354184095,43.93965108270545,10.769053260086359,,66
20,20.0,0.002,1.3078925652290412,24.23105668753889,10.780872879176117,,176
10,20.0,0.002,1.2486099834994233,21.900000522323282,10.12660962637366,1.2784809282016165,332
30,15.0,0.002,1.2409901703352357,23.011474557191413,11.523916397997224,,134
50,20.0,0.005,1.2018293472491264,25.667750111787324,7.459490855498318,,66
20,15.0,0.002,1.1318968856968876,20.741091774525966,11.60343213253191,,224
10,25.0,0.002,1.1317654998036832,19.193433030211903,11.030881712917296,1.0138526783869892,272
50,20.0,0.002,1.0695752836807741,9.551702317721066,3.1845685064132434,,66
10,15.0,0.002,1.0517848448713658,18.306667341001372,10.703666767129727,,412
50,15.0,0.008,-0.0040070924089112905,-1.5354949306050858,16.786652832196435,,110
50,15.0,0.005,-0.12976164878767266,-2.044691299150614,11.80579046127489,,110
50,15.0,0.002,-0.28775399987584616,-1.3908131568855953,5.335975976458718,,110
